iter	Passed	Remaining
0	1	100
1	1	91
2	2	96
3	3	86
4	4	85
5	5	83
6	6	82
7	7	80
8	7	79
9	8	78
10	9	76
11	10	75
12	11	74
13	11	73
14	12	72
15	13	71
16	14	70
17	15	69
18	16	68
19	16	67
20	17	66
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	26	58
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	53
37	32	52
38	33	52
39	34	51
40	34	50
41	35	48
42	36	47
43	36	47
44	37	46
45	38	45
46	39	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	46	39
54	47	38
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	33
61	53	32
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	81	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
